AB, ALFA_ROMEO,3
AR, ALFA_ROMEO,14
AG, ALFA_ROMEO,4
BC, ALFA_ROMEO,8
BH, ALFA_ROMEO,10
BN, ALFA_ROMEO,0
BT, ALFA_ROMEO,4
BR, ALFA_ROMEO,4
BV, ALFA_ROMEO,7
B, ALFA_ROMEO,34
BZ, ALFA_ROMEO,6
CL, ALFA_ROMEO,2
CS, ALFA_ROMEO,2
CJ, ALFA_ROMEO,34
CT, ALFA_ROMEO,4
CV, ALFA_ROMEO,2
DB, ALFA_ROMEO,3
DJ, ALFA_ROMEO,12
GL, ALFA_ROMEO,11
GR, ALFA_ROMEO,0
GJ, ALFA_ROMEO,4
HR, ALFA_ROMEO,2
HD, ALFA_ROMEO,10
IL, ALFA_ROMEO,3
IS, ALFA_ROMEO,14
IF, ALFA_ROMEO,1
MM, ALFA_ROMEO,10
MH, ALFA_ROMEO,3
MS, ALFA_ROMEO,1
NT, ALFA_ROMEO,9
OT, ALFA_ROMEO,5
PH, ALFA_ROMEO,12
SJ, ALFA_ROMEO,6
SM, ALFA_ROMEO,5
SB, ALFA_ROMEO,6
SV, ALFA_ROMEO,13
TR, ALFA_ROMEO,2
TM, ALFA_ROMEO,9
TL, ALFA_ROMEO,3
VS, ALFA_ROMEO,3
VL, ALFA_ROMEO,8
VN, ALFA_ROMEO,5
AB, ALPINA,0
AR, ALPINA,0
AG, ALPINA,0
BC, ALPINA,0
BH, ALPINA,0
BN, ALPINA,0
BT, ALPINA,0
BR, ALPINA,0
BV, ALPINA,0
B, ALPINA,0
BZ, ALPINA,0
CL, ALPINA,0
CS, ALPINA,0
CJ, ALPINA,1
CT, ALPINA,0
CV, ALPINA,0
DB, ALPINA,0
DJ, ALPINA,0
GL, ALPINA,0
GR, ALPINA,0
GJ, ALPINA,1
HR, ALPINA,0
HD, ALPINA,0
IL, ALPINA,0
IS, ALPINA,0
IF, ALPINA,0
MM, ALPINA,0
MH, ALPINA,0
MS, ALPINA,0
NT, ALPINA,0
OT, ALPINA,0
PH, ALPINA,1
SJ, ALPINA,0
SM, ALPINA,0
SB, ALPINA,0
SV, ALPINA,0
TR, ALPINA,0
TM, ALPINA,0
TL, ALPINA,0
VS, ALPINA,0
VL, ALPINA,0
VN, ALPINA,0
AB, ARO,1
AR, ARO,0
AG, ARO,3
BC, ARO,0
BH, ARO,0
BN, ARO,0
BT, ARO,0
BR, ARO,0
BV, ARO,0
B, ARO,4
BZ, ARO,0
CL, ARO,0
CS, ARO,0
CJ, ARO,0
CT, ARO,0
CV, ARO,0
DB, ARO,0
DJ, ARO,0
GL, ARO,0
GR, ARO,0
GJ, ARO,0
HR, ARO,0
HD, ARO,0
IL, ARO,0
IS, ARO,0
IF, ARO,0
MM, ARO,0
MH, ARO,0
MS, ARO,0
NT, ARO,0
OT, ARO,1
PH, ARO,1
SJ, ARO,0
SM, ARO,0
SB, ARO,0
SV, ARO,1
TR, ARO,0
TM, ARO,0
TL, ARO,0
VS, ARO,0
VL, ARO,3
VN, ARO,0
AB, ASIA,0
AR, ASIA,0
AG, ASIA,0
BC, ASIA,0
BH, ASIA,0
BN, ASIA,0
BT, ASIA,0
BR, ASIA,0
BV, ASIA,0
B, ASIA,0
BZ, ASIA,0
CL, ASIA,0
CS, ASIA,0
CJ, ASIA,0
CT, ASIA,0
CV, ASIA,0
DB, ASIA,0
DJ, ASIA,0
GL, ASIA,0
GR, ASIA,0
GJ, ASIA,0
HR, ASIA,0
HD, ASIA,0
IL, ASIA,0
IS, ASIA,0
IF, ASIA,0
MM, ASIA,1
MH, ASIA,0
MS, ASIA,0
NT, ASIA,0
OT, ASIA,0
PH, ASIA,0
SJ, ASIA,0
SM, ASIA,0
SB, ASIA,0
SV, ASIA,0
TR, ASIA,0
TM, ASIA,0
TL, ASIA,0
VS, ASIA,0
VL, ASIA,0
VN, ASIA,0
AB, ASTON_MARTIN,0
AR, ASTON_MARTIN,0
AG, ASTON_MARTIN,0
BC, ASTON_MARTIN,0
BH, ASTON_MARTIN,0
BN, ASTON_MARTIN,0
BT, ASTON_MARTIN,0
